User Speed (m/s),User Direction (degrees),Handover Events,Distance from Base Station (m),Signal Strength (dBm),SNR (dB),BER,PDR (%),Network Congestion,Throughput (Mbps),Latency (ms),Retransmission Count,Power Consumption (mW),Battery Level (%),Transmission Power (dBm),RF Link Quality,Modulation Scheme_16-QAM,Modulation Scheme_64-QAM,Modulation Scheme_BPSK,Modulation Scheme_QPSK
0.8736684281810672,0.9688969075807079,0.75,0.15268641544684164,0.34910736161608935,0.6449324055982261,0.6643878645312525,0.5721747979012177,0.0,0.03976612449045254,0.8859907687046764,0.8888888888888888,0.2771256105467876,0.5386912858297344,0.5567194840116139,0.5,1.0,0.0,0.0,0.0
0.8731908855966953,0.8728197249935741,0.75,0.3549586061292226,0.5160896394495325,0.33690800295767076,0.5821512237425042,0.9739418930286903,0.5,0.16356271014122978,0.2175197818171403,0.8888888888888888,0.31608899134005414,0.24395137477913698,0.9218089290761379,0.5,0.0,0.0,0.0,1.0
0.6902381570768602,0.2960356421852179,0.75,0.7609704249987731,0.3082983451150556,0.5588480219224775,0.2977559924762372,0.7608627220476627,1.0,0.6766725517891363,0.3391343757050891,0.6666666666666666,0.35897942018061413,0.22111011597467184,0.5404465864955701,0.0,0.0,0.0,1.0,0.0
0.5490593991923897,0.1956249516746635,0.5,0.7019223392557029,0.28105838191784827,0.05563306689522443,0.8616171781669264,0.05344775406770608,0.5,0.4580012579914308,0.9159183955908794,0.2222222222222222,0.17504772720169987,0.040623179903985875,0.6492518644299684,0.0,1.0,0.0,0.0,0.0
0.2603014818359079,0.8029476452386105,1.0,0.8620808440129666,0.739969471897415,0.33220079389274293,0.6948687971792877,0.1870669077446856,0.0,0.38344368956275143,0.308144112256038,0.4444444444444444,0.5711475515605557,0.4669268492488667,0.1595601960049281,0.0,0.0,0.0,0.0,1.0
0.7839786672496152,0.8945284193857338,1.0,0.5617454691998673,0.27487741506849406,0.35366390028043193,0.5191554042080504,0.8961458826928468,0.0,0.015335043115468782,0.5373929519902773,0.6666666666666666,0.9732513526109277,0.6845994692952777,0.3361256992568345,0.0,0.0,0.0,0.0,1.0
0.08861912982391834,0.16686826128931556,0.25,0.37978151726237713,0.6034705334096842,0.8932750736077087,0.8952490885699553,0.8451338180081778,0.0,0.5165694868354017,0.8121831296728304,0.8888888888888888,0.32010457781618284,0.2872553164301026,0.5954602816882218,0.5,0.0,1.0,0.0,0.0
0.913298306646562,0.0944613294089822,0.25,0.724898185055994,0.45315240479068963,0.48456200285891393,0.12015795642573528,0.5578508330994323,0.5,0.7003162090399472,0.19179342190602744,0.4444444444444444,0.5992089793779403,0.7047192813242543,0.09960795819153305,0.5,0.0,0.0,0.0,1.0
0.6195604615146828,0.2569194462870616,0.5,0.1108302438544977,0.5134198263595524,0.6789786316183075,0.6868423705150848,0.7434183126170175,0.5,0.4084146048999208,0.7174094172893409,0.3333333333333333,0.2851099548176647,0.1415183116035716,0.4691934859067766,0.5,1.0,0.0,0.0,0.0
0.48226223067836277,0.32913314829352164,1.0,0.2791953408656785,0.6958405733019889,0.9903985288758382,0.7025915833378339,0.20296795649478927,1.0,0.9616429512263235,0.4218893154950565,0.1111111111111111,0.05313824027969606,0.5559443670538782,0.13657314361978795,0.0,0.0,0.0,1.0,0.0
