User Speed (m/s),User Direction (degrees),Handover Events,Distance from Base Station (m),Signal Strength (dBm),SNR (dB),BER,PDR (%),Network Congestion,Throughput (Mbps),Latency (ms),Retransmission Count,Power Consumption (mW),Battery Level (%),Transmission Power (dBm),RF Link Quality,Modulation Scheme_16-QAM,Modulation Scheme_64-QAM,Modulation Scheme_BPSK,Modulation Scheme_QPSK
0.8736684281810672,0.968896907580708,0.75,0.1526864154468416,0.3491073616160893,0.6449324055982261,0.6643878645312525,0.5721747979012177,0.0,0.0397661244904525,0.8859907687046764,0.8888888888888888,0.2771256105467876,0.5386912858297344,0.5567194840116139,0.5,1.0,0.0,0.0,0.0
0.8731908855966953,0.8728197249935741,0.75,0.3549586061292226,0.5160896394495325,0.3369080029576707,0.5821512237425042,0.9739418930286904,0.5,0.1635627101412297,0.2175197818171403,0.8888888888888888,0.3160889913400541,0.2439513747791369,0.921808929076138,0.5,0.0,0.0,0.0,1.0
0.6902381570768602,0.2960356421852179,0.75,0.7609704249987731,0.3082983451150556,0.5588480219224775,0.2977559924762372,0.7608627220476627,1.0,0.6766725517891363,0.3391343757050891,0.6666666666666666,0.3589794201806141,0.2211101159746718,0.5404465864955701,0.0,0.0,0.0,1.0,0.0
0.5490593991923897,0.1956249516746635,0.5,0.7019223392557029,0.2810583819178482,0.0556330668952244,0.8616171781669264,0.053447754067706,0.5,0.4580012579914308,0.9159183955908794,0.2222222222222222,0.1750477272016998,0.0406231799039858,0.6492518644299684,0.0,1.0,0.0,0.0,0.0
0.2603014818359079,0.8029476452386105,1.0,0.8620808440129666,0.739969471897415,0.3322007938927429,0.6948687971792877,0.1870669077446856,0.0,0.3834436895627514,0.308144112256038,0.4444444444444444,0.5711475515605557,0.4669268492488667,0.1595601960049281,0.0,0.0,0.0,0.0,1.0
0.7839786672496152,0.8945284193857338,1.0,0.5617454691998673,0.274877415068494,0.3536639002804319,0.5191554042080504,0.8961458826928468,0.0,0.0153350431154687,0.5373929519902773,0.6666666666666666,0.9732513526109275,0.6845994692952777,0.3361256992568345,0.0,0.0,0.0,0.0,1.0
0.0886191298239183,0.1668682612893155,0.25,0.3797815172623771,0.6034705334096842,0.8932750736077087,0.8952490885699553,0.8451338180081778,0.0,0.5165694868354017,0.8121831296728304,0.8888888888888888,0.3201045778161828,0.2872553164301026,0.5954602816882218,0.5,0.0,1.0,0.0,0.0
0.913298306646562,0.0944613294089822,0.25,0.724898185055994,0.4531524047906896,0.4845620028589139,0.1201579564257352,0.5578508330994323,0.5,0.7003162090399472,0.1917934219060274,0.4444444444444444,0.5992089793779403,0.7047192813242543,0.099607958191533,0.5,0.0,0.0,0.0,1.0
0.6195604615146828,0.2569194462870616,0.5,0.1108302438544977,0.5134198263595524,0.6789786316183075,0.6868423705150848,0.7434183126170175,0.5,0.4084146048999208,0.7174094172893409,0.3333333333333333,0.2851099548176647,0.1415183116035716,0.4691934859067766,0.5,1.0,0.0,0.0,0.0
0.4822622306783627,0.3291331482935216,1.0,0.2791953408656785,0.6958405733019889,0.9903985288758382,0.7025915833378339,0.2029679564947892,1.0,0.9616429512263236,0.4218893154950565,0.1111111111111111,0.053138240279696,0.5559443670538782,0.1365731436197879,0.0,0.0,0.0,1.0,0.0
